data;dataAluguer;dataFim;Nome;nif;matricula;marca;PrecoAluguer;DiasAluguer;DataNascimento;Cidade;Pais 
29/10/2018;31/10/2018;01/11/2018;Roseanne Tredget;298763223;CD-43-55;Bentley;20;1;24/12/1970;Lisboa;Portugal 
01/01/2019;01/01/2019;04/01/2019;Amabel McCudden;581626623;65-ZX-47;Ferrari;60;3;25/12/1970;Braga;Portugal 
01/01/2019;01/01/2019;04/01/2019;Roseanne Tredget;298763243;CD-43-55;Bentley;60;3;26/12/1970;Porto;Portugal 
19/12/2018;19/12/2018;26/12/2018;Dari McGloin;581626643;TH-34-21;Maserati;140;7;27/12/1970;Aveiro;Portugal 
17/12/2018;19/12/2018;29/12/2018;Luigi Lankham;832132343;34-XV-09;Porsche;200;10;28/12/1970;Barcelos;Portugal 
19/11/2018;19/11/2018;25/11/2018;Dari McGloin;581626643;43-FG-07;Lexus;120;6;29/12/1970;Faro;Portugal 
;20/11/2018;26/11/2018;Célia Figueiredo;773959543;CD-43-55;Bentley;120;6;30/12/1970;Coimbra ;Portugal 
;21/11/2018;27/12/2018;Márcia Costa ;843922243;65-ZX-47;Ferrari;720;36;31/12/1970;Guimarães;Portugal 
;27/11/2018;28/11/2018;Samuel Costa ;913885444;CD-43-55;Bentley;20;1;01/02/1980;Vila Nova Famalicao;Portugal 
;23/11/2018;25/12/2018;Carolina Silva ;983847999;TH-34-21;Maserati;640;32;04/03/1989;VNFamalicao ;Portugal 
;24/11/2018;30/11/2018;Ana Sofia Ferreira ;105334567;34-XV-09;Porsche;120;6;05/04/1998;Trofa ;Portugal 
;26/11/2018;31/12/2018;Ana Carla Silva ;262646080;43-FG-07;Lexus;700;35;07/05/1999;Lagos ;Portugal 
;29/11/2018;01/12/2018;Josefina Marques ;119373622;CD-43-55;Bentley;40;2;03/07/1965;Tavira ;Portugal 
;28/11/2018;02/12/2018;Carlitos Costa ;126369902;65-ZX-47;Ferrari;80;4;05/04/1998;Chaves ;Portugal 
;28/11/2018;03/12/2018;Orlado Cruz ;133366178;49-ZX-49;Toyota;100;5;07/05/1999;Alverca ;Portugal 
;29/11/2018;04/12/2018;Monica Silva ;14036246;99-TT-09;Audi ;100;5;03/07/1965;Beja ;Portugal 
;30/11/2018;07/12/2018;Marta Melo ;14735874;89-XY-00;Mercedes ;140;7;06/04/1998;Vila Real ;Portugal 
;01/12/2018;19/12/2018;Cristovao Colombo ;15435501;01-UI-56;BMW;360;18;07/05/1984;Bragança ;Portugal 
;02/12/2018;23/12/2018;Luis Oliveira ;161351294;09-TY-90;Seat;420;21;08/06/1970;Póvoa de Varzim;Portugal 
;03/12/2018;10/12/2018;Andreia Figueiredo ;168347574;78-RR-98;Dacia ;140;7;09/07/1956;Lamego;Portugal 
;04/12/2018;01/01/2019;Laurinda Costa ;175343854;45-WE-23;Opel ;560;28;10/08/1942;Sines ;Portugal 
;05/12/2018;02/02/2019;Antonio Campos ;182340124;78-PR-34;Skoda ;1180;59;10/09/1993;Sesimbra;Portugal 
;06/12/2018;11/12/2018;Armanda Lemos;189336404;45-UU-77;Fiat ;100;5;12/10/1991;Albufeira ;Portugal 
;07/12/2018;12/12/2018;Carla Figueiredo ;196332688;25-PZ-99;Renault ;100;5;12/11/1989;Elvas ;Portugal 
;01/01/2019;08/01/2019;Adriana Pereira ;203328968;55-NN-00;Peugeot ;140;7;14/12/1987;Peniche ;Portugal 
;02/01/2019;09/01/2019;Barbara Ferreira ;210325249;33-DD-HH;Mini ;140;7;14/01/1986;Amadora ;Portugal 
;03/01/2019;06/01/2019;Else Costa ;217321529;44-HH-99;Smart ;60;3;15/02/1984;Maia;Portugal 
;04/01/2019;07/01/2019;Diogo Costa ;224317808;34-XY-99;Bentley;60;3;18/03/1982;Odivelas ;Portugal 
;05/01/2019;08/01/2019;Margarida Rolim ;231314079;65-ZX-47;Ferrari;60;3;18/04/1980;Madrid;Espanha
;06/01/2019;09/01/2019;Daniel Sousa ;238310359;CD-43-55;Bentley;60;3;20/05/1978;Londres ;Inglaterra 
;07/01/2019;21/01/2019;Carlos Faria ;245306638;TH-34-21;Maserati;280;14;20/06/1976;Paris ;França
;08/01/2019;19/01/2019;Xavier Francisco;252302919;34-XV-09;Porsche;220;11;22/07/1974;Atenas ;Grécia
